chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_norm,ch_name
Span notes 1 aardborg.rtf,reaches,483,4471,1,1.5178794178794177,0.2860706860706832,0.10885733603786342,0.0017637611180399513,Aardborg
Span notes 1 aardborg.rtf,denies,514,4471,1,-2,-1.7139293139293168,0.11584403876493125,-0.010567185070582507,Aardborg
Span notes 1 aardborg.rtf,violent,529,4471,1,-3,-4.713929313929317,0.11922470137480279,-0.02906360435351619,Aardborg
Span notes 1 aardborg.rtf,provoked,531,4471,1,-1,-5.713929313929317,0.11967545638945233,-0.03522907744782742,Aardborg
Span notes 1 aardborg.rtf,steal,534,4471,1,-2,-7.713929313929317,0.12035158891142664,-0.04756002363644988,Aardborg
Span notes 1 aardborg.rtf,injury,549,4471,1,-2,-9.713929313929317,0.12373225152129817,-0.05989096982507233,Aardborg
Span notes 1 aardborg.rtf,harm,558,4471,1,-2,-11.713929313929317,0.1257606490872211,-0.07222191601369479,Aardborg
Span notes 1 aardborg.rtf,trust,645,4471,1,1.5178794178794177,-10.1960498960499,0.145368492224476,-0.06286347130235045,Aardborg
Span notes 1 aardborg.rtf,excited,674,4471,1,4.553638253638253,-5.642411642411647,0.1519044399368943,-0.03478813716831743,Aardborg
Span notes 1 aardborg.rtf,warns,685,4471,1,-2,-7.642411642411647,0.15438359251746675,-0.04711908335693989,Aardborg
Span notes 1 aardborg.rtf,trouble,753,4471,1,-2,-9.642411642411647,0.16970926301555106,-0.05945002954556235,Aardborg
Span notes 1 aardborg.rtf,obstacle,809,4471,1,-2,-11.642411642411647,0.1823304034257381,-0.07178097573418481,Aardborg
Span notes 1 aardborg.rtf,stuck,818,4471,1,-2,-13.642411642411647,0.18435880099166102,-0.08411192192280727,Aardborg
Span notes 1 aardborg.rtf,disappointed,837,4471,1,-2,-15.642411642411647,0.18864097363083165,-0.09644286811142973,Aardborg
Span notes 1 aardborg.rtf,share,848,4471,1,1.5178794178794177,-14.124532224532228,0.1911201262114041,-0.08708442340008538,Aardborg
Span notes 1 aardborg.rtf,join,947,4471,1,1.5178794178794177,-12.60665280665281,0.21343249943655623,-0.07772597868874104,Aardborg
Span notes 1 aardborg.rtf,ghost,966,4471,1,-1,-13.60665280665281,0.21771467207572684,-0.08389145178305227,Aardborg
Span notes 1 aardborg.rtf,odd,976,4471,1,-2,-15.60665280665281,0.21996844714897454,-0.09622239797167473,Aardborg
Span notes 1 aardborg.rtf,pray,992,4471,1,1.5178794178794177,-14.088773388773394,0.22357448726617082,-0.08686395326033039,Aardborg
Span notes 1 aardborg.rtf,sick,1034,4471,1,-2,-16.088773388773394,0.23304034257381112,-0.09919489944895285,Aardborg
Span notes 1 aardborg.rtf,dissatisfied,1047,4471,1,-2,-18.088773388773394,0.23597025016903314,-0.1115258456375753,Aardborg
Span notes 1 aardborg.rtf,offended,1074,4471,1,-2,-20.088773388773394,0.2420554428668019,-0.12385679182619776,Aardborg
Span notes 1 aardborg.rtf,embarrass,1080,4471,1,-2,-22.088773388773394,0.2434077079107505,-0.1361877380148202,Aardborg
Span notes 1 aardborg.rtf,worry,1091,4471,1,-3,-25.088773388773394,0.24588686049132297,-0.1546841572977539,Aardborg
Span notes 1 aardborg.rtf,humor,1103,4471,1,3.0357588357588354,-22.053014553014556,0.2485913905792202,-0.13596726787506522,Aardborg
Span notes 1 aardborg.rtf,happy,1119,4471,1,4.553638253638253,-17.499376299376305,0.2521974306964165,-0.1078919337410322,Aardborg
Span notes 1 aardborg.rtf,displeased,1155,4471,1,-2,-19.499376299376305,0.26031102096010816,-0.12022287992965466,Aardborg
Span notes 1 aardborg.rtf,wrong,1203,4471,1,-2,-21.499376299376305,0.2711291413116971,-0.13255382611827712,Aardborg
Span notes 1 aardborg.rtf,laugh,1230,4471,1,1.5178794178794177,-19.981496881496888,0.2772143340094659,-0.12319538140693279,Aardborg
Span notes 1 aardborg.rtf,advantage,1296,4471,1,3.0357588357588354,-16.94573804573805,0.2920892494929006,-0.10447849198424408,Aardborg
Span notes 1 aardborg.rtf,courtesy,1363,4471,1,3.0357588357588354,-13.909979209979216,0.30718954248366015,-0.08576160256155542,Aardborg
Span notes 1 aardborg.rtf,advantage,1365,4471,1,3.0357588357588354,-10.87422037422038,0.3076402974983097,-0.06704471313886673,Aardborg
Span notes 1 aardborg.rtf,pretty,1376,4471,1,1.5178794178794177,-9.356340956340963,0.31011945007888214,-0.0576862684275224,Aardborg
Span notes 1 aardborg.rtf,tension,1438,4471,1,-1,-10.356340956340963,0.3240928555330178,-0.06385174152183362,Aardborg
