chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,congrats,475,4500,1,3.0447881640887693,-1.1640887693342306,0.10635915808329602,-2.6065579250654513e-4,-0.007688057270693612,Aardborg
Span notes 1 aardborg.txt,reaches,491,4500,1,1.5223940820443846,0.3583053127101541,0.10994178235557546,8.022958188762967e-5,0.0023663760334058626,Aardborg
Span notes 1 aardborg.txt,denies,522,4500,1,-2,-1.641694687289846,0.11688311688311688,-3.675984521473009e-4,-0.010842337035942947,Aardborg
Span notes 1 aardborg.txt,violent,537,4500,1,-3,-4.641694687289846,0.12024182713837886,-0.0010393405031996967,-0.03065540663996616,Aardborg
Span notes 1 aardborg.txt,provoked,539,4500,1,-1,-5.641694687289846,0.1206896551724138,-0.001263254520217162,-0.03725976317464057,Aardborg
Span notes 1 aardborg.txt,steal,542,4500,1,-2,-7.641694687289846,0.12136139722346619,-0.0017110825542520926,-0.050468476243989376,Aardborg
Span notes 1 aardborg.txt,injury,557,4500,1,-2,-9.641694687289846,0.12472010747872816,-0.0021589105882870233,-0.06367718931333818,Aardborg
Span notes 1 aardborg.txt,harm,566,4500,1,-2,-11.641694687289846,0.12673533363188536,-0.002606738622321954,-0.076885902382687,Aardborg
Span notes 1 aardborg.txt,trust,654,4500,1,1.5223940820443846,-10.119300605245462,0.1464397671294223,-0.002265853247927779,-0.06683146907858753,Aardborg
Span notes 1 aardborg.txt,excited,683,4500,1,4.567182246133154,-5.552118359112308,0.1529332736229288,-0.0012431971247452548,-0.03666816916628911,Aardborg
Span notes 1 aardborg.txt,warns,694,4500,1,-2,-7.552118359112308,0.15539632781012092,-0.0016910251587801855,-0.04987688223563792,Aardborg
Span notes 1 aardborg.txt,trouble,763,4500,1,-2,-9.552118359112308,0.17084639498432602,-0.002138853192815116,-0.06308559530498672,Aardborg
Span notes 1 aardborg.txt,obstacle,820,4500,1,-2,-11.552118359112308,0.18360949395432155,-0.0025866812268500465,-0.07629430837433554,Aardborg
Span notes 1 aardborg.txt,stuck,829,4500,1,-2,-13.552118359112308,0.18562472010747874,-0.003034509260884977,-0.08950302144368436,Aardborg
Span notes 1 aardborg.txt,disappointed,848,4500,1,-2,-15.552118359112308,0.18987908643081056,-0.003482337294919908,-0.10271173451303316,Aardborg
Span notes 1 aardborg.txt,share,859,4500,1,1.5223940820443846,-14.029724277067922,0.1923421406180027,-0.003141451920525733,-0.09265730120893369,Aardborg
Span notes 1 aardborg.txt,join,958,4500,1,1.5223940820443846,-12.507330195023538,0.21450962830273176,-0.002800566546131558,-0.0826028679048342,Aardborg
Span notes 1 aardborg.txt,ghost,977,4500,1,-1,-13.507330195023538,0.21876399462606358,-0.0030244805631490235,-0.08920722443950861,Aardborg
Span notes 1 aardborg.txt,odd,987,4500,1,-2,-15.507330195023538,0.22100313479623823,-0.003472308597183954,-0.10241593750885743,Aardborg
Span notes 1 aardborg.txt,pray,1003,4500,1,1.5223940820443846,-13.984936112979154,0.2245857590685177,-0.003131423222789779,-0.09236150420475796,Aardborg
Span notes 1 aardborg.txt,sick,1045,4500,1,-2,-15.984936112979154,0.23399014778325122,-0.00357925125682471,-0.10557021727410676,Aardborg
Span notes 1 aardborg.txt,dissatisfied,1058,4500,1,-2,-17.984936112979153,0.2369010300044783,-0.0040270792908596404,-0.11877893034345557,Aardborg
Span notes 1 aardborg.txt,offended,1085,4500,1,-2,-19.984936112979153,0.24294670846394983,-0.004474907324894571,-0.13198764341280436,Aardborg
Span notes 1 aardborg.txt,embarrass,1091,4500,1,-2,-21.984936112979153,0.24429019256605464,-0.004922735358929501,-0.14519635648215318,Aardborg
Span notes 1 aardborg.txt,worry,1102,4500,1,-3,-24.984936112979153,0.24675324675324675,-0.005594477409981897,-0.1650094260861764,Aardborg
Span notes 1 aardborg.txt,humor,1115,4500,1,3.0447881640887693,-21.940147948890385,0.2496641289744738,-0.004912706661193548,-0.14490055947797748,Aardborg
Span notes 1 aardborg.txt,happy,1131,4500,1,4.567182246133154,-17.37296570275723,0.2532467532467532,-0.0038900505380110237,-0.11473725956567904,Aardborg
Span notes 1 aardborg.txt,displeased,1167,4500,1,-2,-19.37296570275723,0.261307657859382,-0.004337878572045954,-0.12794597263502785,Aardborg
