chapter,char,sentiment,sum_sent,words,ch_num,ch_name
SPAN notes 11a merylsward prologue.txt,LT-031,joy,26,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,sadness,49,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,surprise,18,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,trust,44,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,anger,9,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,anticipation,9,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,disgust,6,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,fear,17,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,joy,5,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,sadness,8,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,surprise,2,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,chibo,trust,9,296,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,dane,anger,2,60,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,dane,anticipation,1,60,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,dane,joy,2,60,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,dane,trust,5,60,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,anger,2,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,anticipation,2,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,fear,1,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,joy,1,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,sadness,2,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,evertonette,trust,2,84,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rinoa,anger,2,61,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rinoa,disgust,1,61,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rinoa,fear,2,61,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rinoa,sadness,3,61,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,anger,5,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,anticipation,7,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,disgust,2,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,fear,5,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,joy,5,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,sadness,2,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,rook,trust,7,161,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,anger,16,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,anticipation,6,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,disgust,5,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,fear,14,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,joy,5,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,sadness,9,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,surprise,4,364,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,xotl,trust,7,364,11,Merylsward Prologue
SPAN notes 11b merylsward.txt,LT-031,anger,145,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,anticipation,109,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,disgust,83,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,fear,156,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,joy,74,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,sadness,110,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,surprise,67,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,LT-031,trust,156,7298,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,anger,23,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,anticipation,14,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,disgust,13,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,fear,22,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,joy,14,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,sadness,16,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,surprise,11,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,chibo,trust,19,542,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,anger,14,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,anticipation,11,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,disgust,6,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,fear,14,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,joy,8,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,sadness,11,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,surprise,6,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,dane,trust,19,539,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,anger,13,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,anticipation,9,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,disgust,6,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,fear,11,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,joy,11,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,sadness,5,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,surprise,9,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,evertonette,trust,13,348,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,anger,15,383,11.5,Merylsward
